,complaint_date,offense,borough,category,victim_age_group,victim_sex
17128,2023-01-29,ASSAULT 3 & RELATED OFFENSES,MANHATTAN,MISDEMEANOR,25-44,M
17129,2023-01-31,CRIMINAL MISCHIEF & RELATED OF,BROOKLYN,MISDEMEANOR,45-64,M
17130,2023-01-12,VEHICLE AND TRAFFIC LAWS,BROOKLYN,MISDEMEANOR,UNKNOWN,E
17131,2023-01-19,HARRASSMENT 2,MANHATTAN,VIOLATION,-2,M
17132,2023-01-24,PETIT LARCENY,BROOKLYN,MISDEMEANOR,25-44,M
17133,2023-01-29,OFFENSES AGAINST THE PERSON,MANHATTAN,MISDEMEANOR,25-44,F
17134,2023-01-09,PETIT LARCENY,BROOKLYN,MISDEMEANOR,25-44,F
17135,2023-01-22,CRIMINAL MISCHIEF & RELATED OF,BROOKLYN,FELONY,25-44,F
17136,2023-01-12,OFF. AGNST PUB ORD SENSBLTY &,BROOKLYN,MISDEMEANOR,65+,F
17137,2023-01-30,PETIT LARCENY,MANHATTAN,MISDEMEANOR,UNKNOWN,D
17138,2023-01-04,PETIT LARCENY,(null),MISDEMEANOR,25-44,M
17139,2023-01-06,ASSAULT 3 & RELATED OFFENSES,BROOKLYN,MISDEMEANOR,25-44,M
17140,2023-01-27,BURGLARY,BROOKLYN,FELONY,25-44,F
17141,2023-01-25,VEHICLE AND TRAFFIC LAWS,BROOKLYN,MISDEMEANOR,UNKNOWN,E
17142,2023-01-16,ASSAULT 3 & RELATED OFFENSES,MANHATTAN,MISDEMEANOR,25-44,F
17143,2023-01-25,DANGEROUS WEAPONS,BROOKLYN,FELONY,UNKNOWN,E
17144,2023-01-11,PETIT LARCENY,MANHATTAN,MISDEMEANOR,UNKNOWN,D
17145,2023-01-30,CRIMINAL MISCHIEF & RELATED OF,BROOKLYN,MISDEMEANOR,45-64,F
17146,2023-01-30,PETIT LARCENY,BROOKLYN,MISDEMEANOR,<18,F
17147,2023-01-27,GRAND LARCENY,BROOKLYN,FELONY,45-64,F
17148,2023-01-10,HARRASSMENT 2,BROOKLYN,VIOLATION,25-44,F
17149,2023-01-24,HARRASSMENT 2,BROOKLYN,VIOLATION,18-24,F
17150,2023-01-15,GRAND LARCENY OF MOTOR VEHICLE,MANHATTAN,FELONY,45-64,F
17151,2023-01-12,HARRASSMENT 2,BROOKLYN,VIOLATION,65+,M
17152,2023-01-30,GRAND LARCENY,MANHATTAN,FELONY,25-44,F
17153,2023-01-31,SEX CRIMES,MANHATTAN,MISDEMEANOR,25-44,F
17154,2023-01-29,DANGEROUS WEAPONS,MANHATTAN,FELONY,UNKNOWN,E
17155,2023-01-07,HARRASSMENT 2,BROOKLYN,VIOLATION,45-64,M
17156,2023-01-27,PETIT LARCENY,BROOKLYN,MISDEMEANOR,25-44,M
17157,2023-01-07,ASSAULT 3 & RELATED OFFENSES,BROOKLYN,MISDEMEANOR,18-24,F
17158,2023-01-01,CRIMINAL MISCHIEF & RELATED OF,MANHATTAN,MISDEMEANOR,UNKNOWN,D
17159,2023-01-27,PETIT LARCENY,BROOKLYN,MISDEMEANOR,25-44,M
17160,2023-01-16,ASSAULT 3 & RELATED OFFENSES,MANHATTAN,MISDEMEANOR,25-44,F
17161,2023-01-28,HARRASSMENT 2,MANHATTAN,VIOLATION,25-44,F
17162,2023-01-06,PETIT LARCENY,BROOKLYN,MISDEMEANOR,UNKNOWN,D
17163,2023-01-26,GRAND LARCENY,MANHATTAN,FELONY,45-64,M
17164,2023-01-01,HARRASSMENT 2,BROOKLYN,VIOLATION,25-44,F
17165,2023-01-23,PETIT LARCENY,MANHATTAN,MISDEMEANOR,UNKNOWN,D
17166,2023-01-05,DANGEROUS WEAPONS,MANHATTAN,MISDEMEANOR,UNKNOWN,E
17167,2023-01-04,HARRASSMENT 2,MANHATTAN,VIOLATION,45-64,M
17168,2023-01-01,BURGLARY,BROOKLYN,FELONY,45-64,F
17169,2023-01-17,GRAND LARCENY OF MOTOR VEHICLE,MANHATTAN,FELONY,25-44,M
17170,2023-01-20,CRIMINAL MISCHIEF & RELATED OF,QUEENS,MISDEMEANOR,UNKNOWN,E
17171,2023-01-08,GRAND LARCENY,BROOKLYN,FELONY,45-64,M
17172,2023-01-23,HARRASSMENT 2,BROOKLYN,VIOLATION,25-44,F
17173,2023-01-05,GRAND LARCENY,BROOKLYN,FELONY,65+,M
17174,2023-01-03,GRAND LARCENY,BROOKLYN,FELONY,45-64,M
17175,2023-01-16,BURGLARY,MANHATTAN,FELONY,UNKNOWN,D
17176,2023-01-02,HARRASSMENT 2,QUEENS,VIOLATION,25-44,F
17177,2023-01-16,FRAUDS,BROOKLYN,MISDEMEANOR,UNKNOWN,E
17178,2023-01-27,CRIMINAL MISCHIEF & RELATED OF,MANHATTAN,FELONY,25-44,M
17179,2023-01-09,PETIT LARCENY,(null),MISDEMEANOR,25-44,F
17180,2023-01-18,GRAND LARCENY,MANHATTAN,FELONY,25-44,M
17181,2023-01-18,PETIT LARCENY,BROOKLYN,MISDEMEANOR,25-44,F
17182,2023-01-17,PETIT LARCENY,MANHATTAN,MISDEMEANOR,UNKNOWN,D
17183,2023-01-25,FELONY ASSAULT,MANHATTAN,FELONY,45-64,M
17184,2023-01-08,OFFENSES INVOLVING FRAUD,MANHATTAN,MISDEMEANOR,UNKNOWN,E
17185,2023-01-24,ROBBERY,MANHATTAN,FELONY,18-24,F
17186,2023-01-25,PETIT LARCENY,BROOKLYN,MISDEMEANOR,18-24,M
17187,2023-01-24,ASSAULT 3 & RELATED OFFENSES,BROOKLYN,MISDEMEANOR,65+,M
17188,2023-01-13,PETIT LARCENY,MANHATTAN,MISDEMEANOR,UNKNOWN,D
17189,2023-01-10,OFFENSES AGAINST PUBLIC SAFETY,BROOKLYN,MISDEMEANOR,UNKNOWN,E
17190,2023-01-23,HARRASSMENT 2,MANHATTAN,VIOLATION,25-44,F
17191,2023-01-12,PETIT LARCENY,BROOKLYN,MISDEMEANOR,25-44,F
17192,2023-01-08,PETIT LARCENY,MANHATTAN,MISDEMEANOR,25-44,M
17193,2023-01-03,HARRASSMENT 2,MANHATTAN,VIOLATION,18-24,F
17194,2023-01-24,OFF. AGNST PUB ORD SENSBLTY &,QUEENS,MISDEMEANOR,UNKNOWN,E
17195,2023-01-17,GRAND LARCENY,BROOKLYN,FELONY,45-64,F
17196,2023-01-07,ASSAULT 3 & RELATED OFFENSES,MANHATTAN,MISDEMEANOR,<18,M
17197,2023-01-04,PETIT LARCENY,MANHATTAN,MISDEMEANOR,25-44,M
17198,2023-01-23,FELONY ASSAULT,QUEENS,FELONY,25-44,F
17199,2023-01-20,PETIT LARCENY,MANHATTAN,MISDEMEANOR,25-44,M
17200,2023-01-03,PETIT LARCENY,MANHATTAN,MISDEMEANOR,25-44,F
17201,2023-01-16,SEX CRIMES,MANHATTAN,FELONY,25-44,F
17202,2023-01-25,PETIT LARCENY,MANHATTAN,MISDEMEANOR,UNKNOWN,D
17203,2023-01-31,POSSESSION OF STOLEN PROPERTY,BROOKLYN,FELONY,25-44,M
17204,2023-01-03,HARRASSMENT 2,BROOKLYN,VIOLATION,45-64,F
17205,2023-01-26,FELONY ASSAULT,MANHATTAN,FELONY,<18,F
17206,2023-01-18,GRAND LARCENY,MANHATTAN,FELONY,25-44,F
17207,2023-01-09,OFFENSES AGAINST PUBLIC ADMINI,MANHATTAN,MISDEMEANOR,45-64,M
17208,2023-01-04,ASSAULT 3 & RELATED OFFENSES,MANHATTAN,MISDEMEANOR,25-44,F
17209,2023-01-04,DANGEROUS DRUGS,MANHATTAN,FELONY,UNKNOWN,E
17210,2023-01-06,DANGEROUS WEAPONS,MANHATTAN,FELONY,UNKNOWN,E
17211,2023-01-09,HARRASSMENT 2,BROOKLYN,VIOLATION,45-64,F
17212,2023-01-07,GRAND LARCENY,BROOKLYN,FELONY,25-44,M
17213,2023-01-12,HARRASSMENT 2,MANHATTAN,VIOLATION,25-44,F
17214,2023-01-22,FELONY ASSAULT,MANHATTAN,FELONY,25-44,F
17215,2023-01-11,PETIT LARCENY,MANHATTAN,MISDEMEANOR,25-44,F
17216,2023-01-15,PETIT LARCENY,BROOKLYN,MISDEMEANOR,UNKNOWN,D
17217,2023-01-28,MISCELLANEOUS PENAL LAW,BROOKLYN,FELONY,18-24,F
17218,2023-01-12,HARRASSMENT 2,MANHATTAN,VIOLATION,18-24,F
17219,2023-01-03,DANGEROUS DRUGS,MANHATTAN,MISDEMEANOR,UNKNOWN,E
17220,2023-01-25,DANGEROUS DRUGS,MANHATTAN,FELONY,UNKNOWN,E
17221,2023-01-13,FRAUDS,BROOKLYN,MISDEMEANOR,25-44,F
17222,2023-01-09,PETIT LARCENY,BROOKLYN,MISDEMEANOR,25-44,M
17223,2023-01-24,PETIT LARCENY,MANHATTAN,MISDEMEANOR,18-24,F
17224,2023-01-11,PETIT LARCENY,BROOKLYN,MISDEMEANOR,45-64,F
17225,2023-01-09,HARRASSMENT 2,MANHATTAN,VIOLATION,25-44,F
17226,2023-01-25,ROBBERY,BROOKLYN,FELONY,25-44,M
17227,2023-01-03,ASSAULT 3 & RELATED OFFENSES,BROOKLYN,MISDEMEANOR,18-24,F
17228,2023-01-01,PETIT LARCENY,BROOKLYN,MISDEMEANOR,UNKNOWN,D
17229,2023-01-20,FELONY ASSAULT,QUEENS,FELONY,45-64,M
17230,2023-01-07,ROBBERY,MANHATTAN,FELONY,25-44,M
17231,2023-01-16,ROBBERY,MANHATTAN,FELONY,25-44,F
17232,2023-01-03,OFF. AGNST PUB ORD SENSBLTY &,MANHATTAN,MISDEMEANOR,25-44,M
17233,2023-01-11,FELONY ASSAULT,MANHATTAN,FELONY,25-44,F
17234,2023-01-12,ASSAULT 3 & RELATED OFFENSES,BROOKLYN,MISDEMEANOR,25-44,M
17235,2023-01-23,OFF. AGNST PUB ORD SENSBLTY &,MANHATTAN,MISDEMEANOR,25-44,F
17236,2023-01-23,DANGEROUS DRUGS,MANHATTAN,MISDEMEANOR,UNKNOWN,E
17237,2023-01-12,PETIT LARCENY,MANHATTAN,MISDEMEANOR,45-64,F
17238,2023-01-03,ASSAULT 3 & RELATED OFFENSES,BROOKLYN,MISDEMEANOR,45-64,M
17239,2023-01-14,HARRASSMENT 2,BROOKLYN,VIOLATION,45-64,M
17240,2023-01-06,PETIT LARCENY,MANHATTAN,MISDEMEANOR,45-64,F
17241,2023-01-26,MISCELLANEOUS PENAL LAW,BROOKLYN,FELONY,25-44,M
17242,2023-01-07,PETIT LARCENY,MANHATTAN,MISDEMEANOR,18-24,M
17243,2023-01-10,PETIT LARCENY,BROOKLYN,MISDEMEANOR,UNKNOWN,D
17244,2023-01-01,HARRASSMENT 2,BROOKLYN,VIOLATION,45-64,M
17245,2023-01-04,HARRASSMENT 2,BROOKLYN,VIOLATION,25-44,M
17246,2023-01-28,DANGEROUS DRUGS,BROOKLYN,MISDEMEANOR,UNKNOWN,E
17247,2023-01-31,HARRASSMENT 2,BROOKLYN,VIOLATION,65+,F
17248,2023-01-27,MISCELLANEOUS PENAL LAW,QUEENS,FELONY,45-64,F
17249,2023-01-28,ASSAULT 3 & RELATED OFFENSES,MANHATTAN,MISDEMEANOR,45-64,M
17250,2023-01-14,DANGEROUS DRUGS,QUEENS,FELONY,UNKNOWN,E
17251,2023-01-28,FRAUDS,BROOKLYN,MISDEMEANOR,45-64,M
17252,2023-01-07,HARRASSMENT 2,MANHATTAN,VIOLATION,25-44,F
17253,2023-01-28,GRAND LARCENY OF MOTOR VEHICLE,BROOKLYN,FELONY,25-44,F
17254,2023-01-20,GRAND LARCENY,MANHATTAN,FELONY,25-44,M
17255,2023-01-17,OFF. AGNST PUB ORD SENSBLTY &,MANHATTAN,MISDEMEANOR,18-24,F
17256,2023-01-13,HARRASSMENT 2,MANHATTAN,VIOLATION,25-44,F
17257,2023-01-19,MISCELLANEOUS PENAL LAW,BROOKLYN,FELONY,25-44,M
17258,2023-01-27,HARRASSMENT 2,BROOKLYN,VIOLATION,UNKNOWN,F
17259,2023-01-18,VEHICLE AND TRAFFIC LAWS,BROOKLYN,MISDEMEANOR,25-44,M
17260,2023-01-14,PETIT LARCENY,BROOKLYN,MISDEMEANOR,25-44,D
17261,2023-01-28,ROBBERY,MANHATTAN,FELONY,25-44,M
17262,2023-01-04,GRAND LARCENY,BROOKLYN,FELONY,25-44,M
17263,2023-01-06,OFF. AGNST PUB ORD SENSBLTY &,MANHATTAN,MISDEMEANOR,45-64,F
17264,2023-01-29,MISCELLANEOUS PENAL LAW,MANHATTAN,FELONY,UNKNOWN,M
17265,2023-01-02,PETIT LARCENY,BROOKLYN,MISDEMEANOR,25-44,F
